label,score,identifier
Fake,0.9991374015808105,Dataset/test/fake/FE/CoDiff/0C_interText_optDM_2_alpha=0.0.png
Fake,0.998807430267334,Dataset/test/fake/FE/CoDiff/0C_interText_optDM_3_alpha=0.5.png
Fake,0.9994334578514099,Dataset/test/fake/FE/CoDiff/0C_interText_optDM_1_alpha=-0.5.png
Fake,0.9987974166870117,Dataset/test/fake/FE/CoDiff/0C_interText_optDM_4_alpha=1.0.png
Fake,0.9995457530021667,Dataset/test/fake/FE/CoDiff/0C_interText_optDM_5_alpha=1.5.png
Fake,0.9992806315422058,Dataset/test/fake/FE/cycle_diff/gene.png
Fake,0.9990623593330383,Dataset/test/fake/FE/Imagic/img_003.png
Fake,0.9995860457420349,Dataset/test/fake/FE/Imagic/img_002.png
Fake,0.9993207454681396,Dataset/test/fake/FE/Imagic/img_001.png
Fake,0.9846753478050232,Dataset/test/fake/FE/Imagic/img_000.png
Fake,0.9678277373313904,Dataset/test/fake/T2I/SDXL/sd2_gene_1.png
Fake,0.9988921284675598,Dataset/test/fake/T2I/HPS/align_sd_nor_gene_000_000.png
Fake,0.9881551265716553,Dataset/test/fake/T2I/HPS/align_sd_gene_000_000.png
Fake,0.9994626641273499,Dataset/test/fake/T2I/HPS/align_sd_gene_001_000.png
Fake,0.9985849857330322,Dataset/test/fake/T2I/HPS/align_sd_nor_gene_001_000.png
Fake,0.9980600476264954,Dataset/test/fake/T2I/HPS/align_sd_gene_003_000.png
Fake,0.9991356730461121,Dataset/test/fake/T2I/HPS/align_sd_nor_gene_003_000.png
Fake,0.9993817806243896,Dataset/test/fake/T2I/HPS/align_sd_nor_gene_002_000.png
Fake,0.9960796236991882,Dataset/test/fake/T2I/HPS/align_sd_gene_002_000.png
Fake,0.9995607733726501,Dataset/test/fake/T2I/FreeDoM_T/FreeDom_Gene.png
Fake,0.998004138469696,Dataset/test/fake/T2I/Midjourney/158.png
Fake,0.9962995648384094,Dataset/test/fake/T2I/Midjourney/000.png
Fake,0.9990630745887756,Dataset/test/fake/T2I/Midjourney/124.png
Fake,0.9994136095046997,Dataset/test/fake/T2I/Midjourney/123.png
Fake,0.9993403553962708,Dataset/test/fake/T2I/Midjourney/007.png
Fake,0.9992357492446899,Dataset/test/fake/T2I/Midjourney/075.png
Fake,0.9993707537651062,Dataset/test/fake/T2I/Midjourney/151.png
Fake,0.9992515444755554,Dataset/test/fake/T2I/Midjourney/009.png
Fake,0.9992520213127136,Dataset/test/fake/T2I/Midjourney/156.png
Fake,0.9984437823295593,Dataset/test/fake/T2I/Midjourney/072.png
Fake,0.9991468191146851,Dataset/test/fake/T2I/Midjourney/163.png
Fake,0.9985635876655579,Dataset/test/fake/T2I/Midjourney/096.png
Fake,0.9991348385810852,Dataset/test/fake/T2I/Midjourney/047.png
Fake,0.9980236291885376,Dataset/test/fake/T2I/Midjourney/118.png
Fake,0.9988119602203369,Dataset/test/fake/T2I/Midjourney/091.png
Fake,0.9984216690063477,Dataset/test/fake/T2I/Midjourney/040.png
Fake,0.9991697072982788,Dataset/test/fake/T2I/Midjourney/164.png
Fake,0.9987874627113342,Dataset/test/fake/T2I/Midjourney/116.png
Fake,0.9988609552383423,Dataset/test/fake/T2I/Midjourney/032.png
Fake,0.9979428648948669,Dataset/test/fake/T2I/Midjourney/035.png
Fake,0.9982249140739441,Dataset/test/fake/T2I/Midjourney/111.png
Fake,0.9994754195213318,Dataset/test/fake/T2I/Midjourney/098.png
Fake,0.9965053796768188,Dataset/test/fake/T2I/Midjourney/049.png
Fake,0.9994768500328064,Dataset/test/fake/T2I/Midjourney/024.png
Fake,0.9979565143585205,Dataset/test/fake/T2I/Midjourney/058.png
Fake,0.9952652454376221,Dataset/test/fake/T2I/Midjourney/089.png
Fake,0.999516487121582,Dataset/test/fake/T2I/Midjourney/100.png
Fake,0.9994433522224426,Dataset/test/fake/T2I/Midjourney/107.png
Fake,0.9995256662368774,Dataset/test/fake/T2I/Midjourney/023.png
Fake,0.9993960857391357,Dataset/test/fake/T2I/Midjourney/051.png
Fake,0.9989323019981384,Dataset/test/fake/T2I/Midjourney/080.png
Fake,0.9985098242759705,Dataset/test/fake/T2I/Midjourney/109.png
Fake,0.9983409643173218,Dataset/test/fake/T2I/Midjourney/056.png
Fake,0.9991414546966553,Dataset/test/fake/T2I/Midjourney/087.png
Fake,0.9990284442901611,Dataset/test/fake/T2I/Midjourney/147.png
Fake,0.9985377788543701,Dataset/test/fake/T2I/Midjourney/063.png
Fake,0.9994882345199585,Dataset/test/fake/T2I/Midjourney/064.png
Fake,0.9977610111236572,Dataset/test/fake/T2I/Midjourney/018.png
Fake,0.9987419247627258,Dataset/test/fake/T2I/Midjourney/140.png
Fake,0.9835875630378723,Dataset/test/fake/T2I/Midjourney/132.png
Fake,0.9993035793304443,Dataset/test/fake/T2I/Midjourney/016.png
Fake,0.9989713430404663,Dataset/test/fake/T2I/Midjourney/011.png
Fake,0.9993442893028259,Dataset/test/fake/T2I/Midjourney/149.png
Fake,0.9973179697990417,Dataset/test/fake/T2I/Midjourney/135.png
Fake,0.9121516346931458,Dataset/test/fake/T2I/Midjourney/034.png
Fake,0.9990217685699463,Dataset/test/fake/T2I/Midjourney/110.png
Fake,0.9975366592407227,Dataset/test/fake/T2I/Midjourney/099.png
Fake,0.9992085099220276,Dataset/test/fake/T2I/Midjourney/048.png
Fake,0.999309778213501,Dataset/test/fake/T2I/Midjourney/117.png
Fake,0.999234676361084,Dataset/test/fake/T2I/Midjourney/033.png
Fake,0.9993329644203186,Dataset/test/fake/T2I/Midjourney/119.png
Fake,0.9952517747879028,Dataset/test/fake/T2I/Midjourney/090.png
Fake,0.9993138313293457,Dataset/test/fake/T2I/Midjourney/041.png
Fake,0.9994045495986938,Dataset/test/fake/T2I/Midjourney/165.png
Fake,0.9989263415336609,Dataset/test/fake/T2I/Midjourney/097.png
Fake,0.9991133809089661,Dataset/test/fake/T2I/Midjourney/046.png
Fake,0.9991772770881653,Dataset/test/fake/T2I/Midjourney/157.png
Fake,0.9975584745407104,Dataset/test/fake/T2I/Midjourney/073.png
